,alert_strategy,alert_description,alert_status,alert_time,strategy_category,collection_plugin,label
21,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669877754,Others,plugin_B,Noise
22,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669877472,Others,plugin_B,Noise
23,,"""[rail_warner@tencent.com]: IP 'PATH sync_game_info.py online' is not running and try to start""",,1669876204,Others,plugin_B,Noise
24,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669875260,system stability,plugin_A,Noise
25,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669875059,Others,plugin_B,Noise
26,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669874462,Others,plugin_B,Noise
27,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669874240,system stability,plugin_A,Noise
28,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669872060,Others,plugin_B,Noise
29,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669870024,Others,plugin_B,Noise
30,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669867273,system stability,plugin_A,Noise
31,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669863078,Others,plugin_B,Noise
32,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669862169,Others,plugin_B,Noise
33,Corefile Generation,generate corefile:PATH,Notified,1669858382,system stability,plugin_A,Noise
34,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
35,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
36,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669857057,Others,plugin_B,Noise
37,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1669856404,Others,plugin_B,Noise
38,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669852972,Others,plugin_B,Noise
39,Gse process hosting event alert,"Event type: process restarts successfully, event content: check bkmonitorbeat not running, and restart it success",Notified,1669851662,system stability,plugin_A,Noise
40,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669849933,system stability,plugin_A,Noise
41,Corefile Generation,generate corefile:PATH,Notified,1669849741,system stability,plugin_A,Noise
42,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669847753,Others,plugin_B,Noise
43,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669845382,Others,plugin_B,Noise
44,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669845084,Others,plugin_B,Noise
45,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669843878,Others,plugin_B,Noise
46,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842964,Others,plugin_B,Event
47,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842964,Others,plugin_B,Event
48,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842948,Others,plugin_B,Event
49,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842948,Others,plugin_B,Noise
50,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842949,Others,plugin_B,Event
51,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842949,Others,plugin_B,Event
52,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842958,Others,plugin_B,Event
53,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842667,Others,plugin_B,Event
54,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842668,Others,plugin_B,Event
55,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842668,Others,plugin_B,Event
56,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842668,Others,plugin_B,Event
57,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842668,Others,plugin_B,Event
58,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842668,Others,plugin_B,Event
59,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842672,Others,plugin_B,Event
60,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842672,Others,plugin_B,Event
61,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669842000,system stability,plugin_A,Noise
62,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669842054,Others,plugin_B,Noise
63,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669841833,system stability,plugin_A,Noise
64,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669841000,system stability,plugin_A,Noise
65,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669840040,system stability,plugin_A,Noise
66,Corefile Generation,generate corefile:PATH,Notified,1669838521,system stability,plugin_A,Noise
67,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669835755,Others,plugin_B,Noise
68,Corefile Generation,generate corefile:PATH,Notified,1669835402,system stability,plugin_A,Noise
69,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669833733,Others,plugin_B,Noise
70,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669833656,Others,plugin_B,Noise
71,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669832154,Others,plugin_B,Noise
72,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1669828266,Others,plugin_B,Noise
73,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669828247,Others,plugin_B,Noise
74,Gse process hosting event alert,"Event type: process restarts successfully, event content: check bkmonitorbeat not running, and restart it success",Notified,1669824870,system stability,plugin_A,Noise
75,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669824121,Others,plugin_B,Noise
76,,DATE TIME data server ip list is empty,,1669824003,Others,plugin_B,Noise
77,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669909560,system stability,plugin_A,Noise
78,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669908300,Others,plugin_A,Noise
79,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669906320,Others,plugin_A,Noise
80,[kube statefulset] The number of statefulset replicas does not match,"(max_without_time(kube_statefulset_status_replicas_ready) - max_without_time(kube_statefulset_status_replicas)) max_without_time(kube_statefulset_status_replicas_ready)nd   (max_without_time(kube_statefulset_status_replicas_updated) == 0) > xx, 当前值xx",Notified,1669893180,system stability,plugin_A,Noise
81,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669892400,system stability,plugin_A,Noise
82,[kube statefulset] The number of statefulset replicas does not match,"(max_without_time(kube_statefulset_status_replicas_ready) - max_without_time(kube_statefulset_status_replicas)) max_without_time(kube_statefulset_status_replicas_ready)nd   (max_without_time(kube_statefulset_status_replicas_updated) == 0) > xx, 当前值xx",Notified,1669876140,system stability,plugin_A,Noise
83,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669875180,system stability,plugin_A,Noise
84,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669872060,Others,plugin_A,Noise
85,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669870020,Others,plugin_A,Noise
86,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669858140,system stability,plugin_A,Noise
87,[kube statefulset] The number of statefulset replicas does not match,"(max_without_time(kube_statefulset_status_replicas_ready) - max_without_time(kube_statefulset_status_replicas)) max_without_time(kube_statefulset_status_replicas_ready)nd   (max_without_time(kube_statefulset_status_replicas_updated) == 0) > xx, 当前值xx",Notified,1669841820,system stability,plugin_A,Noise
88,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669835700,Others,plugin_A,Noise
89,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669833720,Others,plugin_A,Noise
90,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669908356,Others,plugin_B,Noise
91,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669907750,Others,plugin_B,Noise
92,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
93,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
94,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1669856404,Others,plugin_B,Noise
95,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669909560,system stability,plugin_A,Noise
96,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
97,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
98,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
99,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
100,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
101,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669857540,system stability,plugin_A,Event
102,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669995651,Others,plugin_B,Noise
103,Corefile Generation,generate corefile:PATH,Notified,1669994642,system stability,plugin_A,Noise
104,Corefile Generation,generate corefile:PATH,Notified,1669990201,system stability,plugin_A,Noise
105,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669988961,Others,plugin_B,Noise
106,Corefile Generation,generate corefile:PATH,Notified,1669988941,system stability,plugin_A,Noise
107,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669987273,system stability,plugin_A,Noise
108,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669984263,Others,plugin_B,Noise
109,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669981864,Others,plugin_B,Noise
110,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669980952,Others,plugin_B,Noise
111,Corefile Generation,generate corefile:PATH,Notified,1669980061,system stability,plugin_A,Noise
112,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669978920,Others,plugin_B,Noise
113,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669978560,Others,plugin_B,Noise
114,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669978248,Others,plugin_B,Noise
115,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669978260,Others,plugin_B,Noise
116,Corefile Generation,generate corefile:PATH,Notified,1669975202,system stability,plugin_A,Noise
117,Corefile Generation,generate corefile:PATH,Notified,1669972501,system stability,plugin_A,Noise
118,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669970173,system stability,plugin_A,Noise
119,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669969933,system stability,plugin_A,Noise
120,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669967154,Others,plugin_B,Noise
121,,System restart warning,,1669965811,Others,plugin_B,Noise
122,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669959354,Others,plugin_B,Noise
123,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669956660,Others,plugin_B,Noise
124,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669956059,Others,plugin_B,Noise
125,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1669955458,Others,plugin_B,Noise
126,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669952450,Others,plugin_B,Noise
127,Corefile Generation,generate corefile:PATH,Notified,1669950001,system stability,plugin_A,Noise
128,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669945261,Others,plugin_B,Noise
129,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669944658,Others,plugin_B,Noise
130,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1669942894,Others,plugin_B,Event
131,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669942627,Others,plugin_B,Noise
132,Corefile Generation,generate corefile:PATH,Notified,1669942142,system stability,plugin_A,Noise
133,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669939299,Others,plugin_B,Noise
134,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669938663,Others,plugin_B,Noise
135,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669935853,system stability,plugin_A,Noise
136,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669935673,system stability,plugin_A,Noise
137,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669935085,Others,plugin_B,Noise
138,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669933872,Others,plugin_B,Noise
139,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1669932666,Others,plugin_B,Noise
140,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929653,Others,plugin_B,Noise
141,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929659,Others,plugin_B,Noise
142,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929366,Others,plugin_B,Event
143,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929366,Others,plugin_B,Event
144,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929379,Others,plugin_B,Event
145,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929379,Others,plugin_B,Event
146,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929351,Others,plugin_B,Event
147,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929355,Others,plugin_B,Event
148,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929082,Others,plugin_B,Event
149,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929043,Others,plugin_B,Event
150,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929043,Others,plugin_B,Event
151,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929043,Others,plugin_B,Event
152,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929053,Others,plugin_B,Event
153,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929059,Others,plugin_B,Event
154,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669929058,Others,plugin_B,Event
155,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669928786,Others,plugin_B,Noise
156,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669927573,system stability,plugin_A,Noise
157,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669926740,system stability,plugin_A,Noise
158,Corefile Generation,generate corefile:PATH,Notified,1669925881,system stability,plugin_A,Noise
159,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669925660,system stability,plugin_A,Noise
160,Corefile Generation,generate corefile:PATH,Notified,1669923842,system stability,plugin_A,Noise
161,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669922161,Others,plugin_B,Noise
162,Corefile Generation,generate corefile:PATH,Notified,1669921981,system stability,plugin_A,Noise
163,Corefile Generation,generate corefile:PATH,Notified,1669919222,system stability,plugin_A,Noise
164,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669918551,Others,plugin_B,Noise
165,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669918513,system stability,plugin_A,Noise
166,Corefile Generation,generate corefile:PATH,Notified,1669918501,system stability,plugin_A,Noise
167,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669915854,Others,plugin_B,Noise
168,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669914667,Others,plugin_B,Noise
169,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669914076,system stability,plugin_A,Noise
170,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669914045,Others,plugin_B,Noise
171,Gse process hosting event alert,"Event type: process restarts successfully, event content: check bkmonitorbeat not running, and restart it success",Notified,1669912013,system stability,plugin_A,Noise
172,Corefile Generation,generate corefile:PATH,Notified,1669911601,system stability,plugin_A,Noise
173,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669911060,Others,plugin_B,Noise
174,,DATE TIME data server ip list is empty,,1669910405,Others,plugin_B,Noise
175,[kube statefulset] The number of statefulset replicas does not match,"(max_without_time(kube_statefulset_status_replicas_ready) - max_without_time(kube_statefulset_status_replicas)) max_without_time(kube_statefulset_status_replicas_ready)nd   (max_without_time(kube_statefulset_status_replicas_updated) == 0) > xx, 当前值xx",Notified,1669995480,system stability,plugin_A,Noise
176,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669995420,system stability,plugin_A,Noise
177,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669980900,Others,plugin_A,Noise
178,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669978920,Others,plugin_A,Noise
179,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669978140,system stability,plugin_A,Noise
180,[kube statefulset] The number of statefulset replicas does not match,"(max_without_time(kube_statefulset_status_replicas_ready) - max_without_time(kube_statefulset_status_replicas)) max_without_time(kube_statefulset_status_replicas_ready)nd   (max_without_time(kube_statefulset_status_replicas_updated) == 0) > xx, 当前值xx",Notified,1669962060,system stability,plugin_A,Noise
181,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669944900,system stability,plugin_A,Noise
182,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669944600,Others,plugin_A,Noise
183,Self-healing migration-Disk Warning,"COUNT(hard disk alert) >= xx, current value xx",Notified,1669942620,Others,plugin_A,Noise
184,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669926660,system stability,plugin_A,Noise
185,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669995651,Others,plugin_B,Noise
186,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1669942894,Others,plugin_B,Event
187,[kube hpa] The number of replicas reaches the maximum HPA,"AVG(kube_hpa_status_current_replicas) - AVG(kube_hpa_spec_max_replicas) = xx, current value xx",Notified,1669995420,system stability,plugin_A,Noise
188,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1670081773,system stability,plugin_A,Noise
189,Corefile Generation,generate corefile:PATH,Notified,1670078761,system stability,plugin_A,Noise
190,Corefile Generation,generate corefile:PATH,Notified,1670075582,system stability,plugin_A,Noise
191,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1670072773,system stability,plugin_A,Noise
192,Corefile Generation,generate corefile:PATH,Notified,1670072581,system stability,plugin_A,Noise
193,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670072152,Others,plugin_B,Noise
